Key,Id,English(en)
"crimsonlantern_burntheheretics_title",2299744976896,"Burn the heretics"
"crimsonlantern_burntheheretics",2299786919936,"Deals damage"
"crimsonlantern_praisemaster_title",2299791114240,"Praise Master"
"crimsonlantern_praisemaster",2299791114241,"Glory to the glorious Master"
"crimsonlantern_toxicfumes_title",2299791114242,"Toxic Fumes"
"crimsonlantern_toxicfumes",2299791114243,"Gains Permanent Damage"
"crimsonmonk_martialslap_title",2299791114244,"Martial Slap"
"crimsonmonk_martialslap",2299791114245,"He was trained on top of the mountain"
"crimsonmonk_disturbingprayer_title",2299791114246,"Disturbing Prayer"
"crimsonmonk_disturbingprayer",2299791114247,"You'll never be the same after hearing this"
"crimsonmonk_anger_title",2299795308544,"Anger"
"crimsonmonk_anger",2299795308545,
"crimsonmonk_mainbosspassive_title",2299795308546,"Main Boss"
"crimsonmonk_mainbosspassive",2299795308547,"Kill this card to end the combat"
"crimsonmonk_stunimmune_title",2299795308548,"Immune to Stun"
"crimsonmonk_stunimmune",2299795308549,"This card is immune to $Stun$"
"daisyduck_rootcard_title",2299795308550,"Root"
"daisyduck_rootcard",2299795308551,
"daisyduck_summonspores_title",2299795308552,"Summon Spores"
"daisyduck_summonspores",2299795308553,
"daisyduck_paraspore_title",2299795308554,"Enfeebling Spores"
"daisyduck_paraspore",2299795308555,"Apply 1 Weak"
"daisyduck_burpcard_title",2299795308556,"Burp"
"daisyduck_burpcard",2299795308557,
"daisyduck_mainbosspassive_title",2299799502848,"Main Boss"
"daisyduck_mainbosspassive",2299799502849,"Kill this card to end the combat"
"daisyduck_stunimmune_title",2299799502850,"Immune to Stun"
"daisyduck_stunimmune",2299799502851,"This card is immune to $Stun$"
"gobo-bomb_goboexplode_title",2299799502852,"KABOOM"
"gobo-bomb_goboexplode",2299799502853,"Detonates in a glorious blaze, killing himself and dealing 10 damages to a single target"
"gobo-bomb_gobocharge_title",2299799502854,"Charging Up"
"gobo-bomb_gobocharge",2299799502855,"This Gobo is Charging Up, danger is near"
"gobo-clown_gobo-buff_title",2299799502856,"Warcry"
"gobo-clown_gobo-buff",2299799502857,"Increase permanent damage by 1"
"gobo-clown_gobo-permanentdamagebuff1_title",2299799502858,"Two orcs walk in a tavern ..."
"gobo-clown_gobo-permanentdamagebuff1",2299799502859,"Gives +1 Permanent Damage to the king"
"gobo-clown_gobo-damagebuff_title",2299803697152,"Snarky Flattery"
"gobo-clown_gobo-damagebuff",2299803697153,"Gives +3 Damage to the king for the next attack"
"goboking_goboking_waiting_title",2299803697154,"Enjoying The Chaos"
"goboking_goboking_waiting",2299803697155,"Waits menacingly"
"goboking_royalclaw_title",2299803697156,"Royal Claw"
"goboking_royalclaw",2299803697157,"Deals 2 DMG to a singletarget"
"goboking_kingstomp_title",2299803697158,"King Stomp"
"goboking_kingstomp",2299803697159,"It seems like you have angered the King"
"goboking_mainbosspassive_title",2299803697160,"Main Boss"
"goboking_mainbosspassive",2299803697161,"Kill this card to end the combat"
"goboking_spawnpassive_title",2299807891456,"Call For Backup"
"goboking_spawnpassive",2299807891457,"Gobo-King regularly calls for backup"
"goboking_stunimmune_title",2299807891458,"Immune to Stun"
"goboking_stunimmune",2299807891459,"This card is immune to $Stun$"
"gobo-knight_gobo-bash_title",2299807891460,"Bash"
"gobo-knight_gobo-bash",2299807891461,"Deals 1 damage"
"gobo-knight_gobo-buff_title",2299807891462,"Warcry"
"gobo-knight_gobo-buff",2299807891463,"Increase permanent damage by 1"
"hydracenter_ultimateaoe_title",2299807891464,"Ultimate Breath"
"hydracenter_ultimateaoe",2299807891465,"Deals 2 damage to every target"
"hydracenter_roar_title",2299807891466,"Rallying Roar"
"hydracenter_roar",2299807891467,"Gives +1 Atck to another head"
"hydracenter_normalattack_title",2299807891468,"Grand Slam"
"hydracenter_normalattack",2299807891469,"Deal 2 DMG to 1 Target"
"hydracenter_hydra_waiting_title",2299807891470,"Recharching"
"hydracenter_hydra_waiting",2299807891471,"Needs to recharge after going all out"
"hydracenter_mainbosspassive_title",2299812085760,"Main Boss"
"hydracenter_mainbosspassive",2299812085761,"Kill this card to end the combat"
"hydracenter_hydrapassivecenter_title",2299812085762,"Tenacious Beast"
"hydracenter_hydrapassivecenter",2299812085763,"After being killed, the Hydra's heads will regrow after 2 turns"
"hydraleft_atck_title",2299812085764,"Head Slam"
"hydraleft_atck",2299812085765,"Deals 1 damage"
"hydraleft_debuff_title",2299812085766,"Screeching Scream"
"hydraleft_debuff",2299812085767,"-1 Dmg to 2 targets"
"hydraleft_heal_title",2299812085768,"Plotting Hiss"
"hydraleft_heal",2299812085769,"Heal 1HP to every head alive"
"hydraleft_mainbosspassive_title",2299812085770,"Main Boss"
"hydraleft_mainbosspassive",2299812085771,"Kill this card to end the combat"
"hydraleft_hydrapassiveleft_title",2299812085772,"Tenacious Beast"
"hydraleft_hydrapassiveleft",2299812085773,"After being killed, the Hydra's heads will regrow after 2 turns"
"hydra_neck_center_neckwaiting_title",2299812085774,"Regrowing"
"hydra_neck_center_neckwaiting",2299816280064,"This head will regrow soon"
"hydra_neck_center_hydraneckpassivecenter_title",2299816280065,"Slowly Growing"
"hydra_neck_center_hydraneckpassivecenter",2299816280066,"This head will grow back after 3 turns"
"hydra_neck_left_neckwaiting_title",2299816280067,"Regrowing"
"hydra_neck_left_neckwaiting",2299816280068,"This head will regrow soon"
"hydra_neck_left_hydraneckpassiveleft_title",2299816280069,"Slowly Growing"
"hydra_neck_left_hydraneckpassiveleft",2299816280070,"This head will grow back after 3 turns"
"hydra_neck_right_neckwaiting_title",2299816280071,"Regrowing"
"hydra_neck_right_neckwaiting",2299816280072,"This head will regrow soon"
"hydra_neck_right_hydraneckpassiveright_title",2299816280073,"Slowly Growing"
"hydra_neck_right_hydraneckpassiveright",2299816280074,"This head will grow back after 3 turns"
"hydraright_aoe_title",2299816280075,"Fire Breath"
"hydraright_aoe",2299816280076,"Deals 1 damage to 3 targets"
"hydraright_debuff_title",2299820474368,"Intimidating Roar"
"hydraright_debuff",2299820474369,"Apply 1 Weak"
"hydraright_singletarget_title",2299820474370,"Head Slam"
"hydraright_singletarget",2299820474371,"Deals 1 damage to a single target"
"hydraright_mainbosspassive_title",2299820474372,"Main Boss"
"hydraright_mainbosspassive",2299820474373,"Kill this card to end the combat"
"hydraright_hydrapassiveright_title",2299820474374,"Tenacious Beast"
