Key,Id,English(en)
"banana_slipperytrap",260841760587776,"Passive : when attacked, 50% chance to $Stun$ the enemy !"
"barbarian_berserkrage",260841781559296,"Gain 1 stack of $Rage$ for every damage dealt or received
At 10 $Rage$ stacks, consume all stacks and deal 1 damage to all enemies"
"barbarian_berserkbuff",260841781559297,"When going Berserk, removes all $Stun$ and $Weak$ stacks and gain 1 $PermanentDamage$"
"batmerchant_batpassive",260841785753600,"When the Bat Merchant scores a kill, He can recast his Active Spell for free"
"bongo_bongopassivedamage",260841789947904,"When Bongo or Combo deals Damage to a Target, the other one will also deal damage to the target"
"bongo_bongopassivestatus",260841789947905,"When Bongo or Combo receives a status effect, the other one also does"
"childsoldier_childsoldierpassiveattack",260841794142208,"Gain stacks of $Vengeance$ for every damage dealt to enemies
At 3 stacks, grows into a Teen SwordMaster"
"childsoldier_childsoldierpassivedefense",260841794142209,"Gain stacks of $Blood$ for every damage received
At 3 stacks, grows into a Teen ShieldMaster"
"teenshieldmaster_teensoldierpassivedefense",260841794142210,"Gain stacks of $Blood$ for every damage received
At 10 stacks, grows into a Shield King"
"teenswordmaster_teensoldierpassiveattack",260841798336512,"Gain stacks of $Vengeance$ for every damage dealt to enemies
At 10 stacks, grows into a Sword King"
"combo_bongopassivedamage",260841798336513,"When Bongo or Combo deals Damage to a Target, the other one will also deal damage to the target"
"combo_bongopassivestatus",260841798336514,"When Bongo or Combo receives a status effect, the other one also does"
"cube_cubepassive",260841802530816,"When a Card appear on your board, in can cast its first spell for no energy cost"
"cube_stunimmune",260841802530817,"This card is immune to $Stun$"
"smokingdevil_hellfuel",260841802530818,"Gains 1 Damage for every Death (ally or enemy)"
"dinoandzaur_dinoandzaurpassive",260841802530819,"Dino and Zaur are at their best when together.
When taking a hit, Zaur falls off Dino and must get back on his friend to resume fighting"
"frien_friendweakbuff",260841810919424,"When Frien receives a $Weak$ stack, he also gains 3 $BonusDamage$"
"gumball_gumballarmor",260841815113728,"Gumball does not take any damage when $Stun$
Instead Gains a stack of $GumBoom$"
"gumball_gumballboom",260841815113729,"At 10 stacks of $GumBoom$, Gumball explodes dealing damage equal to his current $Stun$ stacks to all enemies"
"hognade_hogpassive",260841815113730,"On Death Consumes all stacks of $Groink$ to deal as many damages to all enemies"
"biggestofmonkey_oneape",260841819308032,"If alone on your board, gains +1 $PermanentDamage$ and attacks target all enemies"
"pif_pifpassive",260841823502336,"Each time Olaf deals damage to an enemy, Pif applies a stack of $Vengeance$ to it"
"pillarman_pillardefense",260841827696640,"When Pillar Man is attacked, applies 1 $Weak$ to the enemy"
"pillarman_pillartaunt",260841827696641,"Any $Taunt$ cast while Pillar Man is alive will be doubled and applied to Pillar Man instead"
"guard_guardpassive",260841831890944,"When attacked, mark the attacker with a $Vengeance$ stack"
"jaycoon_racoonpassive",260841831890945,"If attacked by last target, gain 1 $Fury$"
"rooster_roosterpassive",260841831890946,"When any other Card applies a $Vengeance$ stack to an enemy, Rooster attack the enemy for $d$ damage"
"snuk_snukeggpassive",260841836085248,"Spawn an egg every turn
Egg hatches after 2 turns"
"baby_snukbabyprotect",260841836085249,"Babies will $Protection$ their mom from damage"
"baby_snukbabyattack",260841836085250,"Babies will attack with their mom, but also die in the process"
"snuk_egg_snukeggwait",260841836085251,"Egg hatches after 2 turns"
"thelastgnomefighter_gnomefighterprotection",260841836085252,"GnomeFighter will $Protected$ its Carrier from damage"
"thelastgnomefighter_gnomefighterattack",260841836085253,"GnomeFighter will launch a suicide attack on a random target at the start of your next turn"
"thorse_stunimmune",260841840279552,"This card is immune to $Stun$"
"thorse_allneighty",260841840279553,"When killing an enemy, Thorse deals 1 damage to all enemies."
"tinkerer_tinkererpassive_1",260841840279554,"Craft : $PowerCell$ $PowerCell$ $PowerCell$ : Gain 1 $Energy$"
"tinkerer_tinkererpassive_2",260841840279555,"Craft : $PowerCell$ $PowerCell$ $Actuator$, Your team gain 1 $Armor$"
"tinkerer_tinkererpassive_3",260841844473856,"Craft : $PowerCell$ $Actuator$ $Actuator$ : Apply 1 $Weak$ to enemy team"
"tinkerer_tinkererpassive_4",260841844473857,"Craft $Actuator$ $Actuator$ $Actuator$ : Your team gain 1 $BonusDamage$"
"squirtysquire_squirtedpassive",280870652706816,"Using both spells during the same turn will $Stun$ the Squirty Squire"
"banana_slipperytrap_title",287185978490880,"Banan' Appeal"
"barbarian_berserkrage_title",287186020433920,"Go Berserk"
"barbarian_berserkbuff_title",287186020433921,"Strength From Rage"
"batmerchant_batpassive_title",287186020433922,"Nothing Personnel"
"bongo_bongopassivedamage_title",287186020433923,"Dynamic Duo"
"bongo_bongopassivestatus_title",287186020433924,"One for Two"
"childsoldier_childsoldierpassiveattack_title",287186020433925,"Learning With Every Strike"
"childsoldier_childsoldierpassivedefense_title",287186020433926,"Growing With Every Scar"
"teenshieldmaster_teensoldierpassivedefense_title",287186020433927,"Growing With Every Scar"
"teenswordmaster_teensoldierpassiveattack_title",287186020433928,"Learning With Every Strike"
"combo_bongopassivedamage_title",287186020433929,"Dynamic Duo"
"combo_bongopassivestatus_title",287186020433930,"One for Two"
"cube_cubepassive_title",287186020433931,"Welcoming Package"
"cube_stunimmune_title",287186020433932,"Immune to Stun"
"smokingdevil_hellfuel_title",287186020433933,"Hell Fuel"
"dinoandzaur_dinoandzaurpassive_title",287186020433934,"Unexpected Teamwork"
"frien_friendweakbuff_title",287186020433935,"From Weakness Comes Strength"
"gumball_gumballarmor_title",287186020433936,"Armor of Clumsiness"
"gumball_gumballboom_title",287186020433937,"Heroic Finale"
"hognade_hogpassive_title",287186020433938,"Boarsploder"
"biggestofmonkey_oneape_title",287186020433939,"One Ape Wolfpack"
"pif_pifpassive_title",287186020433940,"Junior Strike"
"pillarman_pillardefense_title",287186020433941,"Long and Strong"
"pillarman_pillartaunt_title",287186020433942,"Stone Cold Stare"
"guard_guardpassive_title",287186020433943,"Grievance"
"jaycoon_racoonpassive_title",287186020433944,"Racoonamatata"
"rooster_roosterpassive_title",287186020433945,"Octogonal Nest"
"snuk_snukeggpassive_title",287186020433946,"More Of Me"
"baby_snukbabyprotect_title",287186020433947,"Protect Mom"
"baby_snukbabyattack_title",287186020433948,"Follow Mom"
"snuk_egg_snukeggwait_title",287186020433949,"Egg"
"squirtysquire_squirtedpassive_title",287186020433950,"Squirted my last Squirt"
"Babies will $Protected$ their mom from damage",287186020433951,"Cover Mommy"
"thelastgnomefighter_gnomefighterattack_title",287186020433952,"For The Gnome King"
"thorse_stunimmune_title",287186020433953,"Immune to Stun"
"thorse_allneighty_title",287186020433954,"All Neighty"
"tinkerer_tinkererpassive_1_title",287186020433955,"Energy"
"tinkerer_tinkererpassive_2_title",287186020433956,"Armor"
"tinkerer_tinkererpassive_3_title",287186020433957,"Weak"
"tinkerer_tinkererpassive_4_title",287186020433958,"Damage"
"manyfaces_whitefacepassive_title",396017798971392,"Unlatched Mouth"
"manyfaces_whitefacepassive",396017819942912,"Spells have no cooldown and can be casted multiple times per turn"
"manyfaces_bluefacepassive_title",396017819942913,"Eyes Wide"
"manyfaces_bluefacepassive",396017819942914,"Immune to $Stun$"
"manyfaces_redfacepassive_title",396017819942915,"Tongue Wide"
"manyfaces_redfacepassive",396017819942916,"Tokens protect you"
"child'sface_facetokenattackpassive_title",409810969001984,"Focus The Weak"
"child'sface_facetokenattackpassive",409811010945024,"At the end of your turn, Deal 1 damage to a random enemy afflicted with $Terror$"
"child'sface_facetokendiepassive_title",409811010945025,"Live Fast"
"child'sface_facetokendiepassive",409811010945026,"Looses 1 Health Point at the start of your turn"
"ammocarrierxachary_xacharypassive_title",1114501516328960,"And Another One"
"ammocarrierxachary_xacharypassive",1114501533106176,"Gain a $Ammo$ at the start of your turn"
"flopper_dolphinpassive_title",1406103786848256,"Sonar Mk VI"
"flopper_dolphinpassive",1406103803625472,"Spread any buff received to the card on the Left"
"nado_sharkpassive_title",1461001735864320,"Optical Sensor Mk IX"
"nado_sharkpassive",1461001735864321,"Spread any Status received to the card on the Right"
"nado_sharkbonusdamagepassive_title",1461001735864322,"Bionic Fin"
"nado_sharkbonusdamagepassive",1461001735864323,"Gain 1 $PermanentDamage$ on kill"
