Key,Id,English(en)
"bulletammo_title",347651937370112,"Ammunitions"
"bulletammo",347651975118848,"Ammunitions used for some attacks"
"doritocaltrop_title",347651975118849,"Dorito Caltrop"
"doritocaltrop",347651975118850,"Receive 1 damage when performing an action.
(the amount of damage does not increase with the amount of stacks)"
"stun_title",347651979313152,"Stun"
"stun",347651979313153,"Stun cards cannot perform any actions.
Looses a stack at the end of its turn."
"bonusdamage_title",347651979313154,"Bonus Damage"
"bonusdamage",347651979313155,"Attacks deal extra damage"
"taunt_title",347651979313156,"Taunt"
"taunt",347651979313157,"Cards that are taunting will attract enemies' attacks.
Each stack of Taunt will attract one attack and be consumed"
"permanentdamage_title",347651979313158,"Permanent Bonus Damage"
"permanentdamage",347651979313159,"This unit's attack is permanently improved"
"hoggroink_title",347651979313160,"Groink"
"hoggroink",347651979313161,"On Death Hognade will deal as many damages to all enemies as he has stacks of Groink."
"returndamage_title",347651979313162,"Return Damage"
"returndamage",347651979313163,"If attacked, enemies take 1 damage back"
"gumboom_title",347651979313164,"Gumboom"
"gumboom",347651979313165,"Gained when Gumball is attacked while bieng Stun
At 10 stacks, Gumball explodes"
"weak_title",347651979313166,"Weak"
"weak",347651979313167,"Weakened Cards deal -1 damage per attack"
"obedience_title",347651979313168,"Obedience"
"obedience",347651979313169,"Zanger will stop fucking around and will attack the correct target for Triangular Grimace's next cast"
"gobombcharge_title",347651979313170,"Tic Toc"
"gobombcharge",347651979313171,"Its getting closer..."
"protected_title",347651979313172,"Protected"
"protected",347651979313173,"This card is Protected, every damage or status targeted at it will be redirected to its Protector"
"pants_title",347651979313174,"Pants"
"pants",347651979313175,"You own an extra pair of Pants, and somebody does not
Lucky you"
"fury_title",347651979313176,"Fury"
"fury",347651979313177,"This card is experiencing the white burning hot rage of a thousand suns.

Its spells will target 1 more target"
"dodge_title",347651979313178,"Dodge"
"dodge",347651979313179,"Each stack of Dodge provides an additional 30% chances to evades enemy attacks"
"captured_title",347651979313180,"Captured"
"captured",347651979313181,"Unit is unable to perform any action"
"berserk_title",347651979313182,"Berserk"
"berserk",347651979313183,"Deal double damage, receive double damage"
"rage_title",347651979313184,"Rage"
"rage",347651979313185,"Gain 1 stack of Rage for every damage dealt or received
At 10 Rage stacks, consume stacks and go Berserk for 2 turns"
"permanentprotected_title",347651979313186,"Protected"
"permanentprotected",347651979313187,"This card is Protected, every damage or status targeted at it will be redirected to its Protector"
"armor_title",347651979313188,"Armor"
"armor",347651979313189,"Armor will protect from damage and be consumed
Lose all Armor at start of turn"
"freespell_title",347651979313190,"Free Spell"
"freespell",347651979313191,"This card can cast a spell for no energy cost"
"vengeance_title",347651979313192,"Vengeance"
"vengeance",347651979313193,"This card is marked with Vengeance"
"blood_title",347651979313194,"Blood"
"blood",347651979313195,"Delicious Blood"
"racoon_title",347651979313196,"Last Target"
"racoon",347651979313197,"This card was the last card attacked by the Racoon"
"terror_title",347651979313198,"Terror"
"terror",347651979313199,"Terrorized Cards deal -1 damage per attack until they receive damage"
"poison_title",1366194678104064,"Poison"
"poison",1366194720047104,"At the start of its turn, loses HP equals to the stack amount, then reduce $Poison$ by 1"
"dive_title",1425529429000192,"Dive"
"dive",1425529475137536,"Becomes untargetable for 1 turn
Next turn can recast to attack random target"
"corpse_title",1800943976546304,"Bones"
"corpse",1800944131735552,"Never let a strong bone go to waste"
"energy_title",2259158371631104,"Energy"
"energy",2259158371631105,"Your $Energy$ is used to cast spells with your cards"
"powercell_title",2259158371631106,"PowerCell"
"powercell",2259158371631107,"A red $PowerCell$
Used by the Tinkerer to craft weird contraptions"
"actuator_title",2259158371631108,"Actuator"
"actuator",2259158371631109,"A blue $Actuator$
Used by the Tinkerer to craft weird contraptions"
"spear_title",21346909108797440,"Spear"
"spear",21346909268180992,"When attacking the Martini Gladiatorini, take as much damage as current $Spear$ count"
"sonar_title",27509263743811584,"Sonar"
"sonar",27509392467001344,"Sonar affected cards will be targeted in priority by surfacing cards."
"webbed_title",27517750888595456,"Webbed"
"webbed",27517750926344192,"Gets stunned if webbed twice"
"moonlight_title",27517750926344193,"Moonlight Spark"
"moonlight",27517750926344194,"Once 3 stacks are applied to a target, Bojack will consume all stacks and reset his first spell"
"marker_title",27533886153785344,"Laser Marker"
"marker",27533886187339776,"Targets Marked by laser take 1 more damage from all sources"
"stagger_title",29581390634516480,"Stagger"
"stagger",29581392308043776,"When receiving 3 stacks of $Stagger$, get $Stun$"
